Geography,Geographic Area Name,Total,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Other race,T_ Hispanic or Latino,T_ White,BP_Total,BP_ Male,BP_ Female,BP_ African American%,BP_ Asian%,BP_ Two or more races%,BP_ Hispanic or Latino%,BP_ White%,T_Households,Households<$10k,Households>$200k,Median income,Mean income,BP_ Total%,state,county
0500000US01001,"Autauga County, Alabama",58291,28287,30004,11358,59,658,0,2473,313,1862,42320,6630,2914,3716,17.1,2.7,17.4,14.3,9.5,22308,4.4,7.4,68315,90372,11.4,01,001
0500000US01003,"Baldwin County, Alabama",229539,111484,118055,18560,745,2046,31,10408,4199,10777,189822,23445,9819,13626,24.5,8.2,16.4,27.6,7.7,90802,4.5,9.1,71039,96027,10.2,01,003
0500000US01005,"Barbour County, Alabama",21851,10122,11729,10134,23,122,3,503,1068,1114,9813,5280,2023,3257,33.3,0.0,52.1,62.2,9.7,9016,10.2,3.8,39712,60128,24.2,01,005
0500000US01007,"Bibb County, Alabama",20836,10607,10229,3856,21,69,0,553,104,637,15885,4297,2307,1990,41.9,0.0,9.2,32.7,15.3,7216,7.6,3.5,50669,65131,20.6,01,007
0500000US01009,"Blount County, Alabama",58399,29527,28872,608,227,100,117,2083,1845,5698,50092,8277,3624,4653,14.6,0.0,14.1,32.8,12.3,21626,6.7,4.9,57440,75954,14.2,01,009
0500000US01011,"Bullock County, Alabama",9616,4926,4690,6643,0,43,0,194,544,880,1920,2687,1277,1410,32.6,100.0,61.3,39.5,3.8,3450,12.8,2.3,36136,52269,27.9,01,011
0500000US01013,"Butler County, Alabama",18652,8748,9904,8397,69,243,0,366,57,322,9398,3937,1458,2479,32.8,17.7,30.9,26.4,10.5,7131,6.0,3.3,44429,65988,21.1,01,013
0500000US01015,"Calhoun County, Alabama",112350,54506,57844,24522,258,731,193,3561,2197,4576,79567,20267,8375,11892,26.1,13.8,28.3,39.6,14.1,44693,8.0,3.4,54339,69213,18.0,01,015
0500000US01017,"Chambers County, Alabama",34008,16140,17868,13828,12,60,3,519,230,1107,18508,6080,2550,3530,21.5,30.0,1.5,39.1,14.2,13143,5.1,3.5,48805,64377,17.9,01,017
0500000US01019,"Cherokee County, Alabama",24658,12122,12536,923,120,27,0,756,206,475,22491,3516,1606,1910,11.2,100.0,27.0,41.5,13.3,9997,4.5,3.0,46621,65664,14.3,01,019
0500000US01021,"Chilton County, Alabama",44441,21753,22688,4202,647,229,136,1517,1512,3526,35219,6422,3044,3378,25.4,8.3,18.7,22.4,12.7,16931,5.4,3.3,62471,73650,14.5,01,021
0500000US01023,"Choctaw County, Alabama",12475,5877,6598,4969,28,13,0,299,85,138,7068,2388,1000,1388,28.5,0.0,31.8,13.0,12.4,5228,9.6,2.6,43299,61685,19.1,01,023
0500000US01025,"Clarke County, Alabama",22687,10901,11786,10389,15,88,0,396,194,330,11552,5073,2346,2727,32.7,2.3,9.1,7.3,12.9,8188,10.7,3.5,47549,71413,22.4,01,025
0500000US01027,"Clay County, Alabama",13887,6788,7099,1745,5,36,0,663,128,437,11114,2440,1144,1296,37.3,69.4,38.8,16.7,12.9,5485,8.3,2.2,48074,69549,17.6,01,027
0500000US01029,"Cleburne County, Alabama",14978,7486,7492,336,33,15,0,390,263,401,13877,1931,848,1083,6.3,0.0,34.6,28.7,12.0,5761,7.4,2.6,51553,71645,12.9,01,029
0500000US01031,"Coffee County, Alabama",52713,26068,26645,8852,368,563,8,3678,1083,4483,36219,8592,3471,5121,34.0,3.0,20.9,36.1,9.8,20363,6.4,4.7,62199,78477,16.3,01,031
0500000US01033,"Colbert County, Alabama",56667,27763,28904,9135,132,214,53,1543,1395,1837,43982,8998,4159,4839,30.6,2.8,33.5,38.3,11.5,23266,7.1,3.7,56149,71460,15.9,01,033
0500000US01035,"Conecuh County, Alabama",11514,5605,5909,5578,33,36,0,113,24,80,5730,2122,924,1198,27.1,41.7,22.1,72.5,10.0,4453,8.7,3.0,39888,56230,18.4,01,035
0500000US01037,"Coosa County, Alabama",9969,5011,4958,2923,9,0,0,249,75,284,6486,1102,545,557,23.5,0,2.0,0.0,6.3,3999,2.1,2.2,52279,69810,11.1,01,037
0500000US01039,"Covington County, Alabama",36847,17810,19037,4348,112,218,0,876,293,737,30554,6921,2981,3940,31.3,56.0,10.6,29.0,16.8,14194,7.3,4.6,48772,69704,18.8,01,039
0500000US01041,"Crenshaw County, Alabama",12895,6300,6595,3039,10,154,0,448,142,335,8942,1916,910,1006,24.4,0.0,45.1,14.3,10.4,4839,9.3,4.3,48557,78621,14.9,01,041
0500000US01043,"Cullman County, Alabama",87201,43243,43958,791,355,278,27,4096,1459,4034,79307,11364,5161,6203,18.7,30.9,17.4,23.4,12.2,33649,5.0,4.5,58119,75873,13.0,01,043
0500000US01045,"Dale County, Alabama",48342,23773,24569,10192,476,531,17,1832,1058,3350,32735,8469,3896,4573,25.9,7.5,15.4,18.1,15.0,19400,6.8,2.7,52813,67432,17.5,01,045
0500000US01047,"Dallas County, Alabama",37774,17650,20124,26242,208,224,0,744,11,425,10076,10230,4169,6061,31.7,22.8,75.3,2.4,11.7,14753,11.0,2.1,37180,53213,27.1,01,047
0500000US01049,"DeKalb County, Alabama",70473,35107,35366,943,1098,72,264,3501,6443,10862,55765,14251,6380,7871,28.8,22.2,20.0,45.7,15.1,25690,5.9,2.7,47920,64545,20.2,01,049
0500000US01051,"Elmore County, Alabama",83185,39047,44138,15677,215,602,0,3016,663,2651,61793,7986,3272,4714,17.4,0.0,15.5,16.1,7.5,32184,3.4,6.0,73258,90524,9.6,01,051
0500000US01053,"Escambia County, Alabama",34154,16011,18143,9678,1124,82,0,1360,202,860,21083,7449,3042,4407,37.6,0.0,14.3,15.2,15.3,13022,10.2,2.3,41153,55542,21.8,01,053
0500000US01055,"Etowah County, Alabama",101767,49457,52310,15207,329,748,2,3510,2390,4539,78674,16146,6567,9579,25.1,19.7,25.8,34.5,13.0,38791,5.9,3.1,52177,69693,15.9,01,055
0500000US01057,"Fayette County, Alabama",15973,7813,8160,2016,24,23,0,366,20,49,13475,3543,1543,2000,37.5,0.0,16.4,0.0,20.1,6143,6.8,3.8,45650,66681,22.2,01,057
0500000US01059,"Franklin County, Alabama",31558,15767,15791,1301,134,35,14,1394,4175,5847,23740,5246,2200,3046,10.8,0.0,22.7,22.9,14.8,11239,5.8,2.0,47359,63747,16.6,01,059
0500000US01061,"Geneva County, Alabama",26306,12886,13420,2399,71,143,6,959,636,1185,21267,5480,2695,2785,34.6,0.0,29.1,49.9,15.6,10391,4.9,2.5,47608,63491,20.8,01,061
0500000US01063,"Greene County, Alabama",7612,3676,3936,6265,7,0,0,49,12,24,1267,2504,970,1534,37.2,0,10.2,70.8,11.9,2872,6.3,2.9,32796,48095,32.9,01,063
0500000US01065,"Hale County, Alabama",14448,6862,7586,8262,42,9,0,644,11,25,5480,3613,1661,1952,32.4,0.0,53.4,0.0,10.8,5403,9.3,3.2,35851,59052,25.0,01,065
0500000US01067,"Henry County, Alabama",16807,8055,8752,4196,60,96,8,463,74,422,11739,2608,812,1796,30.8,14.6,39.1,23.7,9.2,6686,8.3,3.3,58395,73705,15.5,01,067
0500000US01069,"Houston County, Alabama",105841,50933,54908,28801,309,982,39,4272,967,3829,68646,18878,7879,10999,32.1,11.0,27.3,26.7,11.1,41543,6.7,5.5,55064,78415,17.8,01,069
0500000US01071,"Jackson County, Alabama",52008,25574,26434,1659,397,213,17,2098,941,1678,46174,9680,4279,5401,33.6,0.0,17.0,57.7,17.0,20670,5.6,3.5,46748,65829,18.6,01,071
0500000US01073,"Jefferson County, Alabama",654506,311630,342876,280060,1166,11353,167,19558,13147,27567,319845,103894,44297,59597,23.5,12.5,19.2,25.7,8.5,265794,6.6,9.3,63595,93745,15.9,01,073
0500000US01075,"Lamar County, Alabama",13736,6872,6864,1488,49,23,0,273,94,70,11796,2107,981,1126,41.2,0.0,8.1,0.0,12.5,5168,5.6,1.8,49565,62422,15.3,01,075
0500000US01077,"Lauderdale County, Alabama",91894,44606,47288,8707,315,436,64,3700,697,2734,77101,12188,4728,7460,32.3,8.5,13.5,10.9,10.9,38237,6.1,4.0,56081,76624,13.3,01,077
0500000US01079,"Lawrence County, Alabama",32725,16041,16684,3303,1669,97,17,2059,464,820,24968,5182,2277,2905,15.3,0.0,21.2,2.6,16.5,12829,5.8,5.6,54786,72948,15.8,01,079
0500000US01081,"Lee County, Alabama",167593,83896,83697,36248,251,7515,49,5378,1848,6566,113433,31003,14433,16570,25.1,10.8,16.8,19.3,17.1,65166,11.6,7.3,59288,84719,18.5,01,081
0500000US01083,"Limestone County, Alabama",100831,49441,51390,12644,875,1872,61,4487,2562,6367,76152,11287,4582,6705,16.4,2.2,17.3,27.8,8.9,38572,3.3,9.4,80146,99315,11.2,01,083
0500000US01085,"Lowndes County, Alabama",9997,4686,5311,7525,0,0,0,46,0,8,2426,2552,977,1575,31.3,0,17.4,0.0,7.8,4001,9.6,2.6,33125,55548,25.5,01,085
0500000US01087,"Macon County, Alabama",16499,7947,8552,13332,7,34,0,714,16,355,2383,4127,2005,2122,27.1,61.8,37.8,59.7,8.4,7131,12.2,2.6,41206,57338,25.0,01,087
0500000US01089,"Madison County, Alabama",378398,185485,192913,90302,1970,9580,255,19829,6938,20219,242177,40440,16721,23719,18.9,6.9,11.3,20.0,7.1,159569,4.8,12.1,78058,107154,10.7,01,089
0500000US01091,"Marengo County, Alabama",18939,8985,9954,9651,54,151,0,368,141,542,8408,4063,1690,2373,32.3,77.5,8.2,39.3,6.7,7379,9.1,4.0,42975,65484,21.5,01,091
0500000US01093,"Marion County, Alabama",28621,14124,14497,929,93,85,8,761,466,786,26114,4707,2214,2493,18.3,7.1,18.0,14.2,16.4,11018,4.9,2.7,49743,62389,16.4,01,093
0500000US01095,"Marshall County, Alabama",96335,47985,48350,2514,877,600,78,5387,4151,14643,76235,15992,7008,8984,26.4,3.3,28.6,29.8,13.7,35930,5.8,5.6,58272,77500,16.6,01,095
0500000US01097,"Mobile County, Alabama",406199,194755,211444,147039,1493,8181,95,13672,5096,12338,227021,71353,29576,41777,27.2,19.7,16.8,18.3,11.2,159605,6.8,5.0,55352,75532,17.6,01,097
0500000US01099,"Monroe County, Alabama",19562,9628,9934,8262,260,47,13,436,31,44,10500,4472,1926,2546,31.7,0.0,44.0,47.7,15.2,7298,9.2,2.4,39965,57487,22.9,01,099
0500000US01101,"Montgomery County, Alabama",219231,102153,117078,129327,317,7540,8,7191,3068,8226,69481,42877,18057,24820,25.4,9.3,22.8,34.0,8.2,89721,7.8,5.4,56707,79962,19.6,01,101
0500000US01103,"Morgan County, Alabama",120811,59480,61331,16078,471,605,31,6133,5047,10742,89891,16579,7051,9528,22.9,4.6,26.3,22.2,10.9,48004,4.7,6.0,61588,82600,13.7,01,103
0500000US01105,"Perry County, Alabama",7547,3513,4034,5639,0,0,0,39,0,61,1869,2478,867,1611,41.4,0,5.1,100.0,7.7,3075,5.4,0.0,32332,41226,32.8,01,105
0500000US01107,"Pickens County, Alabama",17301,9084,8217,7192,15,0,0,319,70,291,9529,3864,1677,2187,34.8,0,40.8,8.9,12.8,7083,5.6,2.7,45339,66279,22.3,01,107
0500000US01109,"Pike County, Alabama",30639,15118,15521,11284,102,546,0,1103,133,737,17094,7242,3739,3503,32.0,76.7,21.3,32.7,15.9,11996,9.7,3.4,42616,67849,23.6,01,109
0500000US01111,"Randolph County, Alabama",21539,10473,11066,4018,16,62,0,585,173,642,16179,4277,2001,2276,22.4,14.5,35.7,36.6,18.1,8729,8.5,3.7,49879,67742,19.9,01,111
0500000US01113,"Russell County, Alabama",58181,27716,30465,26241,107,459,58,2898,1191,3430,25531,12816,5436,7380,28.4,13.7,28.1,37.1,13.3,23462,9.4,3.1,47420,62441,22.0,01,113
0500000US01115,"St. Clair County, Alabama",89634,44026,45608,7978,308,373,61,2534,1204,2278,76588,9786,4601,5185,15.9,12.3,10.2,34.3,9.9,33838,3.6,5.4,73218,88263,10.9,01,115
0500000US01117,"Shelby County, Alabama",220029,107406,112623,28061,493,4481,22,8348,6340,12925,167692,15080,6661,8419,8.1,7.2,12.7,15.6,5.9,83776,3.9,13.3,90618,118066,6.9,01,117
0500000US01119,"Sumter County, Alabama",10815,5061,5754,8138,10,5,0,174,0,41,2460,3285,1486,1799,34.9,0.0,37.9,31.7,15.2,4798,9.4,1.4,31726,49122,30.4,01,119
0500000US01121,"Talladega County, Alabama",77226,36685,40541,23951,119,283,50,2426,945,1756,48957,14436,6030,8406,24.6,0.0,28.5,39.5,14.6,32359,7.3,3.4,52457,70872,18.7,01,121
0500000US01123,"Tallapoosa County, Alabama",40523,19503,21020,10584,20,190,0,1165,388,985,27979,6826,2824,4002,33.3,13.7,43.3,47.1,9.5,16438,7.5,3.8,53282,71359,16.8,01,123
0500000US01125,"Tuscaloosa County, Alabama",218123,106164,111959,70669,386,3635,24,6348,1638,8040,132333,36412,16131,20281,23.4,24.2,26.9,22.1,12.4,84743,8.4,6.0,61645,82543,16.7,01,125
0500000US01127,"Walker County, Alabama",63595,31285,32310,3607,100,123,0,2166,1098,1840,55845,10437,4878,5559,28.8,23.6,28.9,35.1,14.9,24718,6.6,2.8,52987,68336,16.4,01,127
0500000US01129,"Washington County, Alabama",15282,7592,7690,3583,1042,62,0,399,20,260,9962,2415,1108,1307,26.5,25.8,17.8,28.5,11.6,5506,9.4,6.8,51184,76832,15.8,01,129
0500000US01131,"Wilcox County, Alabama",10219,4772,5447,7215,13,4,0,220,0,16,2757,2735,1142,1593,36.4,0.0,0.0,43.8,3.8,3579,8.4,1.1,38208,50522,26.8,01,131
0500000US01133,"Winston County, Alabama",23175,11541,11634,217,123,105,0,739,371,765,21407,4217,1609,2608,10.6,0.0,41.5,12.5,17.7,9103,5.0,3.7,49494,66201,18.2,01,133
0500000US02013,"Aleutians East Borough, Alaska",3395,2092,1303,181,1257,676,10,422,276,402,535,429,284,145,39.2,1.5,5.0,13.2,2.1,899,4.0,3.1,79961,88309,12.6,02,013
0500000US02016,"Aleutians West Census Area, Alaska",4987,3292,1695,181,473,2114,176,553,285,775,1073,478,321,157,16.6,7.5,9.6,11.4,6.1,969,1.2,12.8,100662,117300,9.6,02,016
0500000US02020,"Anchorage Municipality, Alaska",284386,145005,139381,14713,20722,28131,8480,36320,7581,27544,157233,27415,12647,14768,14.5,8.7,11.4,10.6,6.1,107134,3.3,14.4,95731,122032,9.6,02,020
0500000US02050,"Bethel Census Area, Alaska",18158,9587,8571,210,15173,251,40,764,86,393,1588,4586,2415,2171,8.6,38.2,9.3,3.6,3.5,4565,7.5,7.4,64094,85288,25.3,02,050
0500000US02060,"Bristol Bay Borough, Alaska",837,474,363,0,260,48,17,107,22,70,378,66,44,22,0,0.0,2.8,0.0,11.6,284,0.7,13.4,94167,116487,7.9,02,060
0500000US02063,"Chugach Census Area, Alaska",6871,3671,3200,102,367,488,94,541,340,400,4865,339,165,174,0.0,8.0,10.9,3.0,4.2,2755,0.5,11.3,83068,103289,4.9,02,063
0500000US02066,"Copper River Census Area, Alaska",2570,1378,1192,1,867,12,0,283,28,162,1364,289,130,159,0.0,0.0,9.2,0.0,8.0,1090,3.1,8.0,70606,88145,11.2,02,066
0500000US02068,"Denali Borough, Alaska",2052,1368,684,39,64,73,0,280,45,25,1551,150,81,69,76.9,45.2,10.4,0.0,3.7,525,3.4,7.2,87292,98536,7.3,02,068
0500000US02070,"Dillingham Census Area, Alaska",4814,2463,2351,75,3430,77,3,466,2,162,680,765,359,406,0.0,0.0,7.9,17.9,6.5,1384,3.7,5.5,69412,86298,15.9,02,070
0500000US02090,"Fairbanks North Star Borough, Alaska",92321,49051,43270,3511,6497,2914,638,11006,1669,7570,62819,6356,3048,3308,9.5,3.9,6.7,8.7,6.1,35824,3.6,12.8,81655,107852,6.9,02,090
0500000US02100,"Haines Borough, Alaska",2071,1072,999,0,126,68,0,198,2,170,1509,121,83,38,0,5.9,19.2,0.0,4.6,786,7.6,4.1,68276,76099,5.8,02,100
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2329,1300,1029,9,672,19,4,387,0,230,1158,269,158,111,0.0,0.0,14.0,19.6,6.5,867,6.9,5.9,62344,84200,11.6,02,105
0500000US02110,"Juneau City and Borough, Alaska",31517,16116,15401,314,2957,2312,437,4648,616,2241,19548,2176,1158,1018,48.1,5.1,12.9,19.6,4.5,13017,2.6,14.6,95711,117189,6.9,02,110
0500000US02122,"Kenai Peninsula Borough, Alaska",57908,30010,27898,314,4082,1000,197,4965,997,2584,45419,7265,3431,3834,1.6,10.5,10.4,8.0,12.0,23201,5.2,9.9,76272,99127,12.5,02,122
0500000US02130,"Ketchikan Gateway Borough, Alaska",13735,7104,6631,90,2003,1180,29,1413,214,771,8508,1329,640,689,20.0,5.3,10.1,6.4,7.1,5568,4.0,11.4,82763,108405,9.7,02,130
0500000US02150,"Kodiak Island Borough, Alaska",12777,6785,5992,99,1460,2960,2,1726,87,1085,5844,1027,464,563,41.4,10.7,2.8,0.2,4.5,4415,5.3,9.3,91138,106803,8.0,02,150
0500000US02158,"Kusilvak Census Area, Alaska",8278,4510,3768,68,7537,11,12,326,64,76,257,2836,1438,1398,0.0,0.0,22.1,11.8,0.8,1864,10.9,2.3,42663,57035,34.3,02,158
0500000US02164,"Lake and Peninsula Borough, Alaska",995,506,489,22,613,35,0,154,0,1,171,151,67,84,0.0,0.0,0.6,0.0,2.9,326,2.5,1.5,61607,72594,15.2,02,164
0500000US02170,"Matanuska-Susitna Borough, Alaska",105794,54415,51379,1170,5834,1907,401,10407,1382,5984,82029,10810,5138,5672,6.5,16.2,11.0,12.9,9.5,39290,4.2,11.4,86435,106734,10.2,02,170
0500000US02180,"Nome Census Area, Alaska",9654,5000,4654,100,7408,125,2,667,24,198,1296,2041,1051,990,10.0,0.0,7.0,3.5,4.1,2786,5.5,9.7,70121,89721,21.1,02,180
0500000US02185,"North Slope Borough, Alaska",10793,6691,4102,193,5381,631,204,793,134,424,3401,857,404,453,0.0,0.0,11.7,11.1,1.1,2168,5.7,17.8,83472,109311,7.9,02,185
0500000US02188,"Northwest Arctic Borough, Alaska",7604,4060,3544,95,6146,99,22,428,17,193,716,1405,714,691,4.2,3.0,10.0,0.0,3.2,1776,5.1,9.9,77647,96030,18.5,02,188
0500000US02195,"Petersburg Borough, Alaska",3325,1618,1707,39,265,602,16,372,120,306,1805,153,66,87,15.4,3.7,6.7,3.9,3.4,1254,1.9,10.5,77826,96770,4.6,02,195
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5742,3215,2527,22,2186,80,45,779,29,236,2524,879,502,377,31.8,0.0,14.9,5.9,12.9,2334,4.6,4.4,61779,80427,15.3,02,198
0500000US02220,"Sitka City and Borough, Alaska",8278,4329,3949,54,766,667,103,1452,84,617,4951,571,243,328,0.0,1.3,9.5,12.0,5.2,3459,2.1,9.4,95261,104872,6.9,02,220
0500000US02230,"Skagway Municipality, Alaska",1303,537,766,40,64,29,0,153,0,32,997,81,24,57,7.5,0.0,0.0,15.6,7.3,410,1.2,4.6,79583,91563,6.2,02,230
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6820,3873,2947,60,860,214,17,368,181,486,4907,898,548,350,0.0,0.0,25.0,26.5,8.4,2189,5.5,6.7,75378,85484,13.2,02,240
0500000US02275,"Wrangell City and Borough, Alaska",2110,1128,982,0,479,17,46,343,18,120,1178,213,96,117,0,35.3,6.4,15.8,4.8,928,3.1,5.0,61000,80656,10.1,02,275
0500000US02282,"Yakutat City and Borough, Alaska",561,349,212,12,147,114,12,98,8,37,170,56,43,13,8.3,28.1,0.0,0.0,10.0,231,0.9,1.7,76875,89580,10.0,02,282
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5308,2815,2493,5,3599,71,4,391,24,143,1140,1216,641,575,0.0,69.0,37.3,15.4,12.6,2078,10.6,2.9,47826,62362,22.9,02,290
0500000US04001,"Apache County, Arizona",64716,31814,32902,327,47830,366,71,2384,639,4339,11597,21058,10373,10685,10.4,15.6,31.3,24.3,14.5,19786,17.4,2.0,37483,53624,32.5,04,001
0500000US04003,"Cochise County, Arizona",119388,58849,60539,4363,1006,2365,353,20612,4759,42713,64509,17553,7679,9874,9.5,14.7,20.3,21.6,10.5,49680,6.4,4.0,58421,75274,14.7,04,003
0500000US04005,"Coconino County, Arizona",133468,67562,65906,1664,35967,2426,214,9991,6268,18994,69796,22531,10742,11789,33.3,19.0,15.2,16.7,13.2,51993,6.7,8.2,67266,89188,16.9,04,005
0500000US04007,"Gila County, Arizona",52176,25873,26303,325,8184,383,19,5109,1888,9943,32092,9910,4439,5471,62.8,3.9,14.4,14.9,12.8,22714,7.1,3.9,55242,69681,19.0,04,007
0500000US04009,"Graham County, Arizona",35262,17585,17677,370,4299,265,14,4449,1449,11613,18227,6230,2633,3597,8.4,0.8,21.5,16.7,13.3,12018,7.2,3.4,64089,74766,17.7,04,009
0500000US04011,"Greenlee County, Arizona",9428,4985,4443,171,309,71,0,1466,280,4566,4218,1208,536,672,41.5,0.0,16.8,10.2,12.5,3304,4.5,4.4,73756,79905,12.8,04,011
0500000US04012,"La Paz County, Arizona",16364,8365,7999,66,2440,153,3,2311,963,4639,9200,3435,1520,1915,0.0,3.3,22.3,25.3,18.0,8911,11.2,2.8,46634,62044,21.0,04,012
0500000US04013,"Maricopa County, Arizona",4368048,2172925,2195123,246581,80354,187916,9093,596182,334189,1385298,2326586,503565,231096,272469,17.6,10.3,13.8,16.7,7.7,1665560,4.2,11.3,80675,108596,11.5,04,013
0500000US04015,"Mohave County, Arizona",209848,105453,104395,2059,3998,2269,435,16759,9097,36023,159181,33597,15914,17683,11.2,14.1,22.0,22.0,14.4,95169,5.7,4.0,53592,73093,16.0,04,015
0500000US04017,"Navajo County, Arizona",104364,51751,52613,801,45712,418,135,6221,2547,11536,44197,26591,12967,13624,25.2,10.5,23.5,26.3,13.0,37565,10.4,2.3,50335,63992,25.5,04,017
0500000US04019,"Pima County, Arizona",1014998,499159,515839,33434,33440,29535,1577,145975,100158,389251,507895,151733,68616,83117,20.7,15.0,15.2,18.9,10.9,423075,5.5,7.5,64323,88437,14.9,04,019
0500000US04021,"Pinal County, Arizona",411007,205531,205476,16506,19361,6448,1085,50103,28676,126623,229947,46424,21678,24746,11.6,5.8,10.9,13.7,9.0,151490,4.4,6.3,73313,92354,11.3,04,021
0500000US04023,"Santa Cruz County, Arizona",47614,23001,24613,124,263,51,73,17290,5237,39698,7053,9622,4340,5282,48.4,78.4,20.5,22.2,10.1,16651,6.1,3.8,51885,71305,20.2,04,023
0500000US04025,"Yavapai County, Arizona",233449,114390,119059,1286,3046,2303,161,18611,10170,35235,184598,28765,14034,14731,19.8,17.5,18.6,17.2,10.9,106542,4.5,6.1,62430,83305,12.3,04,025
0500000US04027,"Yuma County, Arizona",197646,99575,98071,3256,2431,2100,59,51333,22862,130607,56902,34654,15505,19149,15.4,8.9,16.1,19.7,12.5,74678,6.9,4.1,56439,74377,17.5,04,027
0500000US05001,"Arkansas County, Arkansas",16719,8152,8567,4317,46,8,0,317,116,641,11420,2816,1169,1647,39.2,25.0,22.4,6.4,8.9,6559,6.2,2.6,58695,70590,16.8,05,001
0500000US05003,"Ashley County, Arkansas",18864,8921,9943,4696,43,25,55,524,180,1160,12733,4390,1731,2659,33.1,0.0,46.4,25.5,19.6,7194,9.0,2.2,44804,64449,23.3,05,003
0500000US05005,"Baxter County, Arkansas",41303,20238,21065,81,237,225,14,1969,130,1112,38045,5587,2387,3200,27.2,0.4,24.5,20.8,12.8,19021,5.3,3.8,47403,66193,13.5,05,005
0500000US05007,"Benton County, Arkansas",282793,142083,140710,5172,3162,11978,1909,47254,10394,49405,182117,22289,10162,12127,7.3,4.3,7.2,12.8,6.8,104164,2.9,12.8,85269,116152,7.9,05,007
0500000US05009,"Boone County, Arkansas",36991,18284,18707,67,115,165,2,1296,206,1073,34443,4869,2129,2740,76.1,16.4,26.9,31.5,11.9,15172,5.7,3.3,52275,69322,13.2,05,009
0500000US05011,"Bradley County, Arkansas",10363,5006,5357,2698,488,6,0,570,305,1674,5629,1570,565,1005,33.5,0.0,9.3,10.7,7.8,3587,8.8,1.3,43688,57798,15.2,05,011
0500000US05013,"Calhoun County, Arkansas",4596,2305,2291,981,21,0,0,190,0,233,3272,574,296,278,22.3,0,44.7,33.0,8.3,1498,7.0,0.2,60237,65273,12.5,05,013
0500000US05015,"Carroll County, Arkansas",28046,14139,13907,86,264,332,330,4086,617,4417,20509,4329,2009,2320,2.3,27.1,20.2,19.4,12.3,11357,6.0,3.6,56826,71631,15.4,05,015
0500000US05017,"Chicot County, Arkansas",9542,4529,5013,5205,0,26,0,292,6,569,3627,2618,1144,1474,33.0,0.0,16.1,47.6,16.1,4008,14.5,6.3,36593,61443,27.4,05,017
0500000US05019,"Clark County, Arkansas",19070,9229,9841,4800,17,20,0,622,555,1005,12752,3812,1616,2196,31.6,0.0,45.8,40.3,13.2,7955,8.5,3.2,48071,63424,20.0,05,019
0500000US05021,"Clay County, Arkansas",14358,6889,7469,85,39,6,0,601,73,116,13516,2789,1120,1669,0.0,0.0,34.1,0.9,18.9,6063,6.6,3.0,44685,61486,19.4,05,021
0500000US05023,"Cleburne County, Arkansas",24565,12268,12297,52,196,53,8,877,50,681,22794,3469,1732,1737,3.8,39.6,11.7,24.8,13.7,10626,5.0,4.7,52780,71025,14.1,05,023
0500000US05025,"Cleveland County, Arkansas",7472,3478,3994,970,2,0,0,215,0,0,6285,1013,380,633,37.7,0,12.1,0,9.9,2742,4.0,3.0,48913,68293,13.6,05,025
0500000US05027,"Columbia County, Arkansas",20756,9893,10863,7360,88,70,6,375,105,592,12336,4675,1824,2851,39.7,0.0,0.3,14.5,13.5,7826,7.9,5.0,47441,72061,22.5,05,027
0500000US05029,"Conway County, Arkansas",20647,10302,10345,2246,75,85,0,696,277,909,16649,4313,2168,2145,23.2,0.0,33.0,15.1,20.5,8422,5.2,3.3,50282,68736,20.9,05,029
0500000US05031,"Craighead County, Arkansas",107299,52361,54938,17536,324,1300,22,4545,2857,5908,78403,20511,8306,12205,42.6,19.0,18.2,27.4,12.9,42351,5.9,6.1,55169,80561,19.1,05,031
0500000US05033,"Crawford County, Arkansas",59501,29476,30025,587,596,790,8,5212,1379,5096,48618,10620,4686,5934,16.2,30.0,19.6,18.8,17.5,22731,5.3,4.0,56702,74478,17.8,05,033
0500000US05035,"Crittenden County, Arkansas",47239,22447,24792,23714,65,367,0,3368,112,1416,18950,9305,3895,5410,27.7,4.4,16.0,20.7,10.5,18587,5.9,4.2,51860,70749,19.7,05,035
0500000US05037,"Cross County, Arkansas",16611,8070,8541,3264,49,5,0,1188,10,355,11964,3357,1339,2018,35.0,0.0,26.3,6.8,15.4,6564,4.1,4.1,48129,68838,20.2,05,037
0500000US05039,"Dallas County, Arkansas",6071,2964,3107,2797,0,4,37,126,0,44,3066,723,286,437,16.7,0.0,15.1,0.0,7.7,2289,6.6,1.0,40085,58645,11.9,05,039
0500000US05041,"Desha County, Arkansas",11180,5405,5775,5327,8,25,0,324,187,762,4866,3044,1372,1672,35.2,100.0,54.3,33.5,16.4,4603,8.7,2.5,38067,51673,27.2,05,041
0500000US05043,"Drew County, Arkansas",16446,7941,8505,4204,0,125,0,673,162,662,10889,3513,1477,2036,30.0,0.0,19.8,46.8,16.6,6913,8.8,3.7,44968,66829,21.4,05,043
0500000US05045,"Faulkner County, Arkansas",119166,58348,60818,13283,350,1222,13,5129,2304,5181,94406,18478,7730,10748,24.4,19.5,17.3,27.1,13.4,47396,8.0,5.4,61273,80941,15.5,05,045
