Geography,Geographic Area Name,Total,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Other race,T_ Hispanic or Latino,T_ White,BP_Total,BP_ Male,BP_ Female,BP_ African American%,BP_ Asian%,BP_ Two or more races%,BP_ Hispanic or Latino%,BP_ White%,T_Households,Households<$10k,Households>$200k,Median income,Mean income,BP_ Total%,state,county
0500000US37177,"Tyrrell County, North Carolina",2690,1166,1524,779,0,12,0,75,156,274,1614,430,190,240,27.0,0.0,22.7,30.3,8.5,1351,4.8,3.7,55341,59662,16.0,37,177
0500000US37179,"Union County, North Carolina",237005,117723,119282,26594,862,9087,40,13293,11238,28180,165226,16125,7455,8670,15.3,8.2,7.8,12.0,4.6,80271,2.9,17.2,95533,129144,6.8,37,179
0500000US37181,"Vance County, North Carolina",41977,19576,22401,20499,150,391,0,2210,1564,3619,16018,7862,3170,4692,24.9,0.0,4.1,19.0,12.4,16123,7.9,2.0,48340,65186,18.7,37,181
0500000US37183,"Wake County, North Carolina",1110026,545059,564967,217640,2940,88400,386,76088,45440,116152,646551,90909,40688,50221,13.7,6.1,11.4,15.3,5.3,430497,3.3,17.3,96734,128312,8.2,37,183
0500000US37185,"Warren County, North Carolina",17986,8722,9264,8518,1157,83,8,911,369,750,6837,3819,1613,2206,27.0,0.0,28.6,15.6,13.1,7686,6.4,5.4,42282,68890,21.2,37,185
0500000US37187,"Washington County, North Carolina",10892,5572,5320,5274,61,19,0,342,223,678,4680,2354,1422,932,33.2,0.0,7.6,26.0,9.7,4897,13.9,2.0,38927,55923,21.6,37,187
0500000US37189,"Watauga County, North Carolina",48908,25328,23580,663,321,601,19,1553,329,1911,44900,12190,6514,5676,42.2,30.0,28.5,21.2,24.6,21194,10.8,5.6,50034,75648,24.9,37,189
0500000US37191,"Wayne County, North Carolina",114736,56438,58298,35215,107,1269,121,9043,2992,14629,59307,20581,8888,11693,23.5,6.6,18.6,29.2,11.9,46949,4.8,3.9,54323,74878,17.9,37,191
0500000US37193,"Wilkes County, North Carolina",65006,32240,32766,2230,136,297,272,2939,1329,4492,56445,11148,4710,6438,26.9,0.0,26.2,25.5,16.0,27249,5.1,2.2,49119,64650,17.1,37,193
0500000US37195,"Wilson County, North Carolina",77200,36803,40397,30523,183,768,0,3491,6093,8740,35004,15714,7265,8449,29.8,17.6,27.1,32.5,9.0,32287,8.2,4.2,49827,68493,20.4,37,195
0500000US37197,"Yadkin County, North Carolina",36926,18512,18414,1116,166,21,0,1762,1481,4271,30688,5102,2443,2659,19.4,0.0,38.8,38.8,10.2,14850,4.4,5.7,57486,78890,13.8,37,197
0500000US37199,"Yancey County, North Carolina",18395,9103,9292,62,18,67,8,673,436,1001,16927,2811,1468,1343,58.1,3.0,41.5,35.1,13.7,7859,8.6,3.9,53103,72533,15.3,37,199
0500000US38001,"Adams County, North Dakota",2114,1082,1032,11,17,12,0,40,7,83,1950,284,148,136,0.0,0.0,15.0,0.0,14.3,997,6.3,6.0,57950,79096,13.4,38,001
0500000US38003,"Barnes County, North Dakota",10245,5157,5088,163,164,137,6,354,34,210,9247,1329,558,771,49.7,7.3,4.8,1.4,12.7,4892,5.4,4.9,64447,85080,13.0,38,003
0500000US38005,"Benson County, North Dakota",5933,3066,2867,13,3255,35,9,227,15,81,2369,1614,784,830,84.6,37.1,18.9,8.6,11.9,1869,12.8,6.1,63220,77560,27.2,38,005
0500000US38007,"Billings County, North Dakota",828,445,383,0,0,0,0,12,0,12,816,92,48,44,0,0,0.0,0.0,11.3,320,3.8,5.6,74000,92045,11.1,38,007
0500000US38009,"Bottineau County, North Dakota",6089,3159,2930,0,319,24,0,107,55,142,5520,499,235,264,0,0.0,0.9,25.4,6.1,2613,4.1,9.6,80113,104957,8.2,38,009
0500000US38011,"Bowman County, North Dakota",2893,1444,1449,0,64,0,9,73,21,162,2652,310,123,187,0,0,21.9,0.6,10.0,1188,0.8,5.8,79709,93041,10.7,38,011
0500000US38013,"Burke County, North Dakota",2177,1142,1035,15,12,56,0,52,18,23,2021,142,71,71,0.0,0.0,46.2,0.0,5.8,950,3.3,16.7,94583,119789,6.5,38,013
0500000US38015,"Burleigh County, North Dakota",94770,47546,47224,1769,3238,808,652,4309,685,2600,82341,7526,3081,4445,26.5,7.1,13.3,20.6,5.6,39885,3.2,9.3,82141,105791,7.9,38,015
0500000US38017,"Cass County, North Dakota",180833,91634,89199,11874,1841,5536,0,7328,1224,5414,150870,19590,9456,10134,28.7,24.0,17.3,12.9,8.3,79505,4.2,10.1,73249,101026,10.8,38,017
0500000US38019,"Cavalier County, North Dakota",3580,1866,1714,0,62,5,0,118,65,32,3330,358,134,224,0,0.0,0.0,0.0,9.9,1519,6.5,8.2,61174,99327,10.0,38,019
0500000US38021,"Dickey County, North Dakota",4715,2371,2344,11,86,49,0,168,80,240,4190,433,195,238,0.0,0.0,21.4,22.9,7.6,1916,3.4,8.5,60250,89244,9.2,38,021
0500000US38023,"Divide County, North Dakota",2116,1094,1022,70,47,11,0,94,0,120,1803,140,73,67,5.7,0.0,13.8,0.0,6.8,905,2.5,13.7,95938,108282,6.6,38,023
0500000US38025,"Dunn County, North Dakota",3977,2199,1778,30,450,8,2,204,59,253,3113,270,149,121,3.3,0.0,8.8,15.8,5.7,1493,2.5,14.4,91758,123039,6.8,38,025
0500000US38027,"Eddy County, North Dakota",2231,1172,1059,0,71,0,1,106,9,63,2032,275,106,169,0,0,19.8,4.8,10.9,1077,6.7,5.5,50375,73032,12.3,38,027
0500000US38029,"Emmons County, North Dakota",3232,1646,1586,6,5,10,0,92,30,48,3078,217,111,106,100.0,100.0,0.0,0.0,6.2,1490,5.4,5.4,63750,82133,6.7,38,029
0500000US38031,"Foster County, North Dakota",3283,1697,1586,16,33,2,18,92,0,19,3103,274,106,168,0.0,100.0,1.1,0.0,8.7,1492,6.0,10.0,78426,89998,8.3,38,031
0500000US38033,"Golden Valley County, North Dakota",1711,852,859,0,13,0,0,157,0,92,1474,215,131,84,0,0,52.9,0.0,9.0,673,2.5,8.0,84750,92758,12.6,38,033
0500000US38035,"Grand Forks County, North Dakota",68519,35431,33088,2607,1322,1921,331,3608,1201,3276,56562,9708,4764,4944,23.5,16.3,12.3,17.7,12.6,30735,6.4,6.1,64698,86429,14.2,38,035
0500000US38037,"Grant County, North Dakota",2272,1158,1114,2,26,72,2,54,5,35,2091,349,181,168,0.0,0.0,27.8,42.9,15.3,1060,7.5,4.7,57069,80418,15.4,38,037
0500000US38039,"Griggs County, North Dakota",2213,1136,1077,0,6,0,0,62,0,35,2135,144,42,102,0,0,25.8,0.0,6.0,927,6.7,9.7,66688,98397,6.5,38,039
0500000US38041,"Hettinger County, North Dakota",2312,1164,1148,7,19,6,3,90,4,14,2169,236,129,107,0.0,0.0,3.3,0.0,9.7,1055,5.4,5.5,66797,84749,10.2,38,041
0500000US38043,"Kidder County, North Dakota",2325,1298,1027,5,0,0,0,57,15,110,2176,297,157,140,0.0,0,21.1,30.0,12.1,1111,4.7,4.1,57240,69876,12.8,38,043
0500000US38045,"LaMoure County, North Dakota",4011,2081,1930,16,18,3,0,86,33,80,3846,488,206,282,0.0,66.7,0.0,10.0,12.4,1698,3.1,3.5,70227,87690,12.2,38,045
0500000US38047,"Logan County, North Dakota",1773,910,863,2,4,1,0,55,24,51,1660,145,70,75,100.0,0.0,34.5,0.0,7.5,770,6.6,5.3,59750,75824,8.2,38,047
0500000US38049,"McHenry County, North Dakota",5252,2687,2565,39,26,40,0,128,5,74,4971,540,257,283,66.7,72.5,0.0,0.0,9.6,2312,3.6,7.6,78071,90514,10.3,38,049
